deptime,avg_arrdelay
1203,5.997222222222222
1316,6.00018115942029
1318,6.00510792552315
1353,6.0427897574123985
1336,6.071402682131207
1454,6.0786287152067935
1429,6.127765659083827
1525,6.191826454338641
1655,6.200335839964956
1425,6.210370885086424
1314,6.272212978369384
1535,6.29091049501892
1357,6.332646592709984
1427,6.341087758703674
1317,6.3826071617569236
1440,6.390011890606421
1319,6.428393966282165
1209,6.44023979018359
1415,6.459760512392092
1358,6.4949586155003765
1334,6.503194351042367
1343,6.5822120118149
1451,6.591481810115351
1530,6.599305271761341
1354,6.611353711790393
1656,6.620530726256983
1555,6.63342361000478
1645,6.737245091350163
1458,6.772587841606247
1341,6.7825859361368
1351,6.784339375817604
1450,6.801007556675063
1452,6.813747954173486
1421,6.825142857142857
1449,6.831710234067999
1459,6.847351571594878
1453,6.859491070017386
1344,6.870767104353836
1342,6.891651865008881
1426,6.944999124189875
1339,6.982227488151659
1445,6.989929681395955
1428,7.008188021228203
1423,7.013174073423502
1346,7.020572966737166
1437,7.05839294626518
1436,7.082312680115273
1333,7.115160592444666
1457,7.120509849362688
1439,7.146394878706199
1419,7.149520406244123
1435,7.151577567643479
1401,7.1770588235294115
1402,7.183374548221419
1338,7.187258687258687
1510,7.195972114639814
1443,7.202104916954449
1424,7.248015188125647
1657,7.24842939087681
1349,7.260845689181768
1540,7.274795705816375
1359,7.30401366353544
1352,7.316423043852106
1347,7.321605277625069
1332,7.336127409891031
1650,7.354331909701037
1403,7.362928066678746
1700,7.38917762152247
1556,7.420208023774146
1635,7.48651031564098
1725,7.49744711889132
1554,7.510612492419648
1434,7.526046265230443
1406,7.559967253376995
1730,7.579499805623947
1417,7.585130111524164
1418,7.602702702702703
1441,7.603053435114504
1654,7.613738738738738
1550,7.618918460756061
1422,7.627638462926213
1444,7.6422378537542945
1605,7.6667845772904135
1442,7.693212961470256
1705,7.706027373969225
1410,7.7445874488676045
1409,7.804736186123805
1653,7.868797431406889
1416,7.885554221688675
1509,7.9246425567703955
1515,7.927237491190979
1348,7.962277331470485
1558,7.965313028764806
1438,7.984819734345351
437,8.0
1658,8.028427872537353
1551,8.066180213812999
1539,8.078718609143593
1511,8.091904843402363
1615,8.094704768179199
1504,8.121141719216727
1529,8.129510120269874
1506,8.1589392342817
1659,8.18916988141163
1501,8.208428446005268
1431,8.223107569721115
1528,8.233599543639475
1625,8.234571129707113
1735,8.240672241878418
1720,8.241579914268218
1553,8.253735942073641
1432,8.260084180989127
1545,8.269661016949152
1502,8.28363939899833
1407,8.316490403446926
1610,8.319768431806573
1503,8.34267347947915
1600,8.361492456164198
1557,8.366371432588219
1507,8.42781007751938
1520,8.431897243778431
1448,8.433412002697235
1652,8.452240832956088
1755,8.479490585201969
1446,8.50129581636431
1526,8.546558031260393
1404,8.553221571399718
1537,8.56051666400893
1740,8.577187733732236
1630,8.628257048979904
1544,8.636540330417882
1620,8.652745751131608
1411,8.70883740004101
1640,8.719215099359774
1433,8.746811113052594
1727,8.750717566016073
1552,8.760232972011002
1414,8.781413359148113
1527,8.798644276690803
1729,8.868044956292493
1715,8.881137989230893
1512,8.89084341133972
1641,8.908339594290007
1447,8.961382861346083
1524,9.002886737986076
1710,9.026384804895494
1651,9.031387107661153
1559,9.053402502288678
1536,9.070402553644263
1412,9.15190114068441
1508,9.16120218579235
1701,9.175881870385561
1626,9.183404492296269
1855,9.207872823618471
1850,9.209072104018913
1646,9.213689179375454
1513,9.213759213759214
1601,9.228297632468996
1541,9.228376886271622
1413,9.257010288480936
1533,9.267646065518406
1750,9.324382716049383
1534,9.37766515204474
1543,9.40673324742268
1745,9.4137957375296
1728,9.480777013354917
1408,9.517322372284204
1549,9.572416176978914
1547,9.574361628709454
1825,9.605123087159015
1726,9.615255530129671
1703,9.637494097276877
1733,9.662694056766505
1538,9.690167265905894
1724,9.694600499375781
1649,9.70357142857143
1546,9.730505192747756
1531,9.749181520552929
1647,9.797875927174646
1514,9.836040864176855
1639,9.836508230072129
1840,9.874025569067664
1606,9.88888888888889
1523,9.893205605818698
1845,9.894082200247219
1629,9.924098986879256
1648,9.937918640744977
1609,9.93826714801444
1731,9.968666219839141
1711,9.976458186929023
1723,10.029860228716645
1602,10.085793678360542
1643,10.118753358409457
1704,10.139027934765057
1830,10.149276410998553
1644,10.205867126833477
1607,10.247836071365484
1548,10.260118460019743
1532,10.35061893609903
1516,10.353456863917115
1835,10.406382228490832
1716,10.417705954681187
1542,10.424861156484809
1702,10.445121951219512
1805,10.446047008547009
1815,10.474296205630354
1603,10.489339207048458
1721,10.510875239255263
1627,10.52884289107567
1631,10.543947975666038
1628,10.563233167282661
1713,10.570279146141216
1707,10.573432210220862
1624,10.600382043935053
1719,10.62133666904932
1642,10.624289405684754
1734,10.68550577053632
1519,10.697195528535007
1756,10.703909726636999
1634,10.712933753943217
1714,10.732089798613403
1608,10.735003408316292
449,10.736842105263158
1522,10.763401780846811
1717,10.784569634891788
1517,10.794432950912169
1706,10.844992188856102
1638,10.877886634009798
1910,10.932054666873738
1737,10.950367346938776
1800,10.968051343536215
1751,10.981135311267364
1709,10.993732000677621
1753,10.994588572338055
1518,11.011815252416756
1637,11.011833242308393
1521,11.03620724144829
1900,11.13547002630486
1854,11.170511682934043
1754,11.180363523380457
1905,11.183250631148255
1621,11.185954933274994
1738,11.189607602697732
1623,11.2107815706025
1614,11.212060484605574
1722,11.230905290239589
1712,11.26586675086833
1612,11.27489899877042
1829,11.278515437529995
1617,11.285438765670202
1632,11.31606317411402
1619,11.32059533386967
1739,11.324722636198047
1743,11.340025493945188
1741,11.351411084665079
1636,11.388867263526665
1744,11.405212886514489
1611,11.44251075479077
1622,11.456842105263158
1742,11.528398510242086
1759,11.568929877564
1613,11.587348837209303
1718,11.594054734193142
1955,11.605740327741685
1708,11.660167579761522
1935,11.681944960952027
1736,11.705642299503193
1732,11.72038612565445
1841,11.743854220388517
1856,11.770729497054825
1748,11.807107411557547
1853,11.833999112294718
1950,11.845807033363391
1857,11.861313868613138
1859,11.862774829416225
1757,11.89267618608936
1810,11.902625541677288
1604,11.942746686303387
1851,12.005400981996727
1930,12.049795197172918
1925,12.07245337159254
1915,12.092537057664297
1849,12.134911806769427
1749,12.153846153846153
1746,12.155635062611807
1920,12.201917465610672
1618,12.33302852962692
1747,12.35872157735729
1820,12.418756409061247
1844,12.434208457789655
1827,12.461439794773128
1839,12.485488126649077
1616,12.531115218730745
1826,12.590970807875085
1945,12.70475016592396
2025,12.763664278403276
1848,12.77658266748617
1752,12.784951230840688
1847,12.829128986197048
439,12.833333333333334
1842,12.849845679012345
1836,12.875784190715182
1807,12.903214596003476
1837,12.912865783880987
1828,12.963750382379933
1633,12.977697408077155
1858,12.983710153068388
1758,13.00445632798574
1838,13.040156862745098
1909,13.048233586062269
1801,13.052846249334989
1852,13.070886460230723
1908,13.121118967107286
2015,13.221334360258014
1911,13.348263092928937
1907,13.398633619319988
1906,13.431890890722343
1809,13.460531309297913
2040,13.49924721469437
1904,13.5125
2000,13.552108537849982
1843,13.568025579536371
1823,13.680372807017545
1806,13.72642029784887
1912,13.77335754374381
1846,13.825446898002102
1940,13.87290422046637
2005,13.889152542372882
1824,13.88949373979314
1821,13.922594552224181
1803,13.961810466760962
1822,13.963270579549649
1808,13.984466689678978
1804,14.025185722051097
1916,14.052770914225203
1902,14.05421686746988
2035,14.100113895216401
2020,14.103598691384951
2010,14.107434598283527
1913,14.113805366957646
1802,14.137037698767196
1903,14.151009939083039
1901,14.201194869091548
1914,14.266936790923825
1834,14.384029038112523
2055,14.404590772084395
1921,14.435791838262823
1811,14.526714591023897
1919,14.591481289877565
1831,14.64075792730085
1817,14.67155890519635
1918,14.722079589216944
2045,14.747731588942814
1923,14.75640802092415
1917,14.8156836461126
1833,14.828835355913784
1926,14.960940392447242
2100,15.02438568625619
2110,15.062456946039035
1816,15.127299028724943
1819,15.17069306930693
1832,15.35272078501338
1812,15.431043905993805
2030,15.444508503891612
2105,15.45528554070474
1922,15.479952630688548
1929,15.614563833770124
1927,15.766701828410689
2115,15.776707113966214
1814,15.844996237772762
1813,16.042994531397323
1924,16.201017811704833
2050,16.23848118130343
2058,16.374265450861195
2026,16.394343151005142
1928,16.426081126382837
2051,16.514032869785083
2056,16.545167830592476
1937,16.555285047677014
2057,16.570368754091206
1818,16.61341075107698
2054,16.745686757786242
2029,16.852516411378556
2109,16.894899169632264
2028,17.121819583654588
2059,17.203315881326354
2016,17.227744807121663
2053,17.261179928616418
2011,17.310642621285243
1954,17.49670474516696
2044,17.53577939835916
2106,17.681329667583103
2038,17.71827811584404
2023,17.735753786968022
1957,17.7376802238003
2108,17.793947485536272
1931,17.798286090969018
1938,17.798673899939722
2013,17.83352708672402
2021,17.83551449833205
2027,17.884341637010674
2039,17.89887111947319
1933,17.945324044754063
2024,17.983270499528746
1949,17.99203933505034
413,18.0
357,18.0
342,18.0
2101,18.03578629032258
